model,method,layer,layer_frac,mean_recovery,n_pairs
gemma-2-9b-it,fv,0,0.0,0.0,12
gemma-2-9b-it,fv,2,0.0476,0.0,12
gemma-2-9b-it,fv,4,0.0952,0.0,12
gemma-2-9b-it,fv,6,0.1429,0.0,12
gemma-2-9b-it,fv,8,0.1905,0.0,12
gemma-2-9b-it,fv,10,0.2381,0.0,12
gemma-2-9b-it,fv,12,0.2857,0.0,12
gemma-2-9b-it,fv,14,0.3333,0.006944444444444444,12
gemma-2-9b-it,fv,16,0.381,0.006944444444444444,12
gemma-2-9b-it,fv,18,0.4286,0.006944444444444444,12
gemma-2-9b-it,fv,20,0.4762,0.006944444444444444,12
gemma-2-9b-it,fv,22,0.5238,0.006944444444444444,12
gemma-2-9b-it,fv,24,0.5714,0.006944444444444444,12
gemma-2-9b-it,fv,26,0.619,0.006944444444444444,12
gemma-2-9b-it,fv,28,0.6667,0.006944444444444444,12
gemma-2-9b-it,fv,30,0.7143,0.006944444444444444,12
gemma-2-9b-it,fv,32,0.7619,0.006944444444444444,12
gemma-2-9b-it,fv,34,0.8095,0.006944444444444444,12
gemma-2-9b-it,fv,36,0.8571,0.006944444444444444,12
gemma-2-9b-it,fv,38,0.9048,0.006944444444444444,12
gemma-2-9b-it,fv,40,0.9524,0.006944444444444444,12
gemma-2-9b-it,tv,0,0.0,0.0,12
gemma-2-9b-it,tv,2,0.0476,0.006944444444444444,12
gemma-2-9b-it,tv,4,0.0952,0.016203703703703703,12
gemma-2-9b-it,tv,6,0.1429,0.0324074074074074,12
gemma-2-9b-it,tv,8,0.1905,0.025462962962962955,12
gemma-2-9b-it,tv,10,0.2381,0.037962962962962955,12
gemma-2-9b-it,tv,12,0.2857,0.037962962962962955,12
gemma-2-9b-it,tv,14,0.3333,0.04907407407407407,12
gemma-2-9b-it,tv,16,0.381,0.0524074074074074,12
gemma-2-9b-it,tv,18,0.4286,0.19844774980930588,12
gemma-2-9b-it,tv,20,0.4762,0.3572773983157278,12
gemma-2-9b-it,tv,22,0.5238,0.5232502644401958,12
gemma-2-9b-it,tv,24,0.5714,0.7205897126434883,12
gemma-2-9b-it,tv,26,0.619,0.3053610901980467,12
gemma-2-9b-it,tv,28,0.6667,0.08499626178974005,12
gemma-2-9b-it,tv,30,0.7143,0.0064834943639291475,12
gemma-2-9b-it,tv,32,0.7619,-0.00032206119162640767,12
gemma-2-9b-it,tv,34,0.8095,-0.00379428341384863,12
gemma-2-9b-it,tv,36,0.8571,-0.00379428341384863,12
gemma-2-9b-it,tv,38,0.9048,-0.00379428341384863,12
gemma-2-9b-it,tv,40,0.9524,-0.00379428341384863,12
gpt-j-6b,fv,0,0.0,0.3948331503887059,27
gpt-j-6b,fv,4,0.1429,0.36906570795459687,27
gpt-j-6b,fv,8,0.2857,0.39220820331931444,27
gpt-j-6b,fv,12,0.4286,0.4318639179750291,27
gpt-j-6b,fv,16,0.5714,0.1302042607598163,27
gpt-j-6b,fv,20,0.7143,0.009816829261273705,27
gpt-j-6b,fv,24,0.8571,-0.0025412858746192094,27
gpt-j-6b,tv,0,0.0,0.015123456790123453,27
gpt-j-6b,tv,4,0.1429,0.029264870931537595,27
gpt-j-6b,tv,8,0.2857,0.1739057239057239,27
gpt-j-6b,tv,12,0.4286,0.4965104853993743,27
gpt-j-6b,tv,16,0.5714,0.027916322360766813,27
gpt-j-6b,tv,20,0.7143,0.019274347052124833,27
gpt-j-6b,tv,24,0.8571,0.01557064334842113,27
llama-3.1-70b,tv,0,0.0,-0.0010606060606060603,48
llama-3.1-70b,tv,3,0.0375,0.0002060567309927925,48
llama-3.1-70b,tv,6,0.075,-0.0037972112428634173,48
llama-3.1-70b,tv,9,0.1125,0.0051756805049643926,48
llama-3.1-70b,tv,12,0.15,0.004425470067253955,48
llama-3.1-70b,tv,15,0.1875,0.011210282477066366,48
llama-3.1-70b,tv,18,0.225,0.12737999706909553,48
llama-3.1-70b,tv,21,0.2625,0.28153270253534,48
llama-3.1-70b,tv,24,0.3,0.46991073720373594,48
llama-3.1-70b,tv,27,0.3375,0.5393797858891369,48
llama-3.1-70b,tv,30,0.375,0.5805744445889907,48
llama-3.1-70b,tv,33,0.4125,0.5092387674872489,48
llama-3.1-70b,tv,36,0.45,0.3999848870433109,48
llama-3.1-70b,tv,39,0.4875,0.14424442690787,48
llama-3.1-70b,tv,42,0.525,0.04672522610062572,48
llama-3.1-70b,tv,45,0.5625,0.04763102320207499,48
llama-3.1-70b,tv,48,0.6,0.03985420611819269,48
llama-3.1-70b,tv,51,0.6375,0.03985420611819269,48
llama-3.1-70b,tv,54,0.675,0.013340074114930253,48
llama-3.1-70b,tv,57,0.7125,0.014173407448263587,48
llama-3.1-70b,tv,60,0.75,0.015006740781596922,48
llama-3.1-70b,tv,63,0.7875,0.015006740781596922,48
llama-3.1-70b,tv,66,0.825,0.015006740781596922,48
llama-3.1-70b,tv,69,0.8625,0.015006740781596922,48
llama-3.1-70b,tv,72,0.9,0.015006740781596922,48
llama-3.1-70b,tv,75,0.9375,0.015006740781596922,48
llama-3.1-70b,tv,78,0.975,0.016164148189004326,48
llama-3.1-8b,fv,0,0.0,0.046994631185807656,24
llama-3.1-8b,fv,2,0.0625,0.020526960784313725,24
llama-3.1-8b,fv,4,0.125,0.028353758169934642,24
llama-3.1-8b,fv,6,0.1875,0.08373511904761904,24
llama-3.1-8b,fv,8,0.25,0.1626373411683514,24
llama-3.1-8b,fv,10,0.3125,0.22122576929322454,24
llama-3.1-8b,fv,12,0.375,0.3433297685016035,24
llama-3.1-8b,fv,14,0.4375,0.397902191673771,24
llama-3.1-8b,fv,16,0.5,0.24051873132196022,24
llama-3.1-8b,fv,18,0.5625,0.09627022380858698,24
llama-3.1-8b,fv,20,0.625,0.043287142755652985,24
llama-3.1-8b,fv,22,0.6875,0.014409722222222221,24
llama-3.1-8b,fv,24,0.75,0.012743055555555556,24
llama-3.1-8b,fv,26,0.8125,0.012743055555555556,24
llama-3.1-8b,fv,28,0.875,0.004802350427350427,24
llama-3.1-8b,fv,30,0.9375,0.002534722222222222,24
llama-3.1-8b,tv,0,0.0,0.005809294871794872,24
llama-3.1-8b,tv,2,0.0625,0.006254960317460318,24
llama-3.1-8b,tv,4,0.125,0.011473214285714286,24
llama-3.1-8b,tv,6,0.1875,0.027544642857142854,24
llama-3.1-8b,tv,8,0.25,0.05057362465610548,24
llama-3.1-8b,tv,10,0.3125,0.27364342002129727,24
llama-3.1-8b,tv,12,0.375,0.28530435251023484,24
llama-3.1-8b,tv,14,0.4375,0.7032508210920935,24
llama-3.1-8b,tv,16,0.5,0.33243742805313176,24
llama-3.1-8b,tv,18,0.5625,0.07370854672914169,24
llama-3.1-8b,tv,20,0.625,0.05214604672914169,24
llama-3.1-8b,tv,22,0.6875,0.05214604672914169,24
llama-3.1-8b,tv,24,0.75,0.05214604672914169,24
llama-3.1-8b,tv,26,0.8125,0.05214604672914169,24
llama-3.1-8b,tv,28,0.875,0.053957640932040245,24
llama-3.1-8b,tv,30,0.9375,0.053957640932040245,24
